instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
AJ-PWM Saw4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Alpha Juno SawPWM/AJ-PWM Saw4.vitaltable	Kimura Taro (CC0)	16.740	0.341	-1.955	0.283	0.171	1.291	0.008
AKVF_GRA WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AKVF_GRA.vitaltable	WaveEdit Online (CC0)	27.832	0.501	-0.727	0.246	0.004	1.850	0.042
AMPWM2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AMPWM/AMPWM2.vitaltable	Kimura Taro (CC0)	12.026	0.586	-1.862	0.392	0.108	1.000	0.008
AMPWM5 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AMPWM/AMPWM5.vitaltable	Kimura Taro (CC0)	17.868	0.539	-1.245	0.413	0.330	1.732	0.009
Add Synth6 Walsh WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth6 Walsh.vitaltable	Kimura Taro (CC0)	16.201	0.604	-1.723	0.417	0.108	4.089	0.010
Atm3 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/nahush2321/Presets/Atm3.vital	user/Discord presets (third-party)	18.956	0.956	-1.095	0.172	0.111	1.353	0.041
AudacityPluck WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Audacity/AudacityPluck.vitaltable	Kimura Taro (CC0)	155.560	0.514	0.070	0.233	0.005	2.544	0.031
BANK_410 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BANK_410.vitaltable	WaveEdit Online (CC0)	48.886	0.497	-0.901	0.282	0.015	1.913	0.074
BELL02 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BELL02.vitaltable	WaveEdit Online (CC0)	49.705	0.501	-0.020	0.137	0.002	1.926	0.066
BELL03 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BELL03.vitaltable	WaveEdit Online (CC0)	45.078	0.500	0.004	0.150	0.002	1.802	0.059
BOWING WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BOWING.vitaltable	WaveEdit Online (CC0)	30.037	0.483	-0.779	0.177	0.024	2.299	0.036
BRAIDS01 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BRAIDS01.vitaltable	WaveEdit Online (CC0)	2.738	0.580	-1.933	0.218	0.093	2.506	0.028
BassTables 09 WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 09.wav	BassTables (free use license)	19.048	0.556	-1.673	0.181	0.056	2.309	0.038
BassTables 11 WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 11.wav	BassTables (free use license)	20.492	0.610	-1.028	0.173	0.322	2.554	0.031
BassTables 19 WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 19.wav	BassTables (free use license)	33.561	0.981	-0.665	0.213	0.018	2.743	0.057
Bazille PDFR1 Icarus Mod WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PDFR1 Icarus Mod.vitaltable	Kimura Taro (CC0)	19.408	0.576	-0.726	0.242	0.087	2.356	0.012
Bazille PDFR2 FM WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PDFR2 FM.vitaltable	Kimura Taro (CC0)	12.884	0.463	-1.665	0.181	0.078	1.607	0.013
CZ Reso1 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/CZ Reso/CZ Reso1.vitaltable	Kimura Taro (CC0)	13.600	0.424	-1.246	0.375	0.001	2.995	0.010
CZ Reso5 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/CZ Reso/CZ Reso5.vitaltable	Kimura Taro (CC0)	17.119	0.500	-1.183	0.212	0.000	2.576	0.019
CZ-ISH WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/CZ-ISH.vitaltable	WaveEdit Online (CC0)	10.628	0.505	-1.540	0.340	0.017	3.004	0.092
Callback Pain WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Vital Harvest/Presets/Callback Pain.vital	other	33.945	0.547	-0.730	0.461	0.008	4.162	0.017
Celtic Gloop WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Vital Harvest/Presets/Celtic Gloop.vital	other	12.370	0.311	0.270	0.401	0.000	3.054	0.015
Chebyshev poly3 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Chebyshev polynomials/Chebyshev poly3.vitaltable	Kimura Taro (CC0)	37.500	0.545	-0.864	0.327	0.049	1.351	0.065
Chebyshev poly4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Chebyshev polynomials/Chebyshev poly4.vitaltable	Kimura Taro (CC0)	23.361	0.502	-1.870	0.359	0.039	1.398	0.013
Chebyshev poly5 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Chebyshev polynomials/Chebyshev poly5.vitaltable	Kimura Taro (CC0)	37.374	0.657	-0.382	0.141	0.010	1.436	0.085
Chords smooth WT.xrni	bright and gritty	/home/meneses/.local/share/vital/nahush2321/Presets/Chords smooth.vital	user/Discord presets (third-party)	9.108	0.534	-2.005	0.380	0.168	2.100	0.009
DISTORTE WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/DISTORTE.vitaltable	WaveEdit Online (CC0)	8.695	0.941	-2.114	0.167	0.076	1.269	0.120
DRONE WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/DRONE.vitaltable	WaveEdit Online (CC0)	8.223	0.528	-1.698	0.365	0.257	1.670	0.065
DRUMSTRU WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/DRUMSTRU.vitaltable	WaveEdit Online (CC0)	47.721	0.514	-0.255	0.458	0.001	3.827	0.038
Dirty chords WT.xrni	bright and gritty	/home/meneses/.local/share/vital/nahush2321/Presets/Dirty chords.vital	user/Discord presets (third-party)	8.175	0.540	-1.910	0.431	0.279	2.344	0.002
ESW Digital - Air Lazer WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Air Lazer.wav	Echo Sound Works Core (free pack)	26.164	0.585	-2.242	0.519	0.338	2.434	0.058
ESW Digital - Big Booty Saws WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Big Booty Saws.wav	Echo Sound Works Core (free pack)	11.812	0.565	-1.715	0.295	0.131	2.653	0.019
ESW Digital - Circuit Bending WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Circuit Bending.wav	Echo Sound Works Core (free pack)	28.752	0.624	-0.560	0.263	0.289	2.067	0.040
ESW Digital - Cypher WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Cypher.wav	Echo Sound Works Core (free pack)	4.840	0.490	-2.219	0.250	0.305	1.453	0.004
ESW Digital - Felicity WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Felicity.wav	Echo Sound Works Core (free pack)	4.579	0.767	-2.402	0.273	0.149	2.152	0.010
ESW Digital - Glass Formant WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Glass Formant.wav	Echo Sound Works Core (free pack)	33.950	0.631	-0.875	0.422	0.207	2.178	0.032
ESW Digital - Hot Folds WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Hot Folds.wav	Echo Sound Works Core (free pack)	5.035	0.470	-2.024	0.150	0.007	1.661	0.006
ESW Digital - Neurotic WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Neurotic.wav	Echo Sound Works Core (free pack)	8.421	0.474	-1.845	0.209	0.050	2.587	0.018
ESW Digital - Protozoa WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Protozoa.wav	Echo Sound Works Core (free pack)	26.039	0.381	-1.160	0.339	0.079	2.187	0.026
ESW Digital - Pyramid Scheme WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Pyramid Scheme.wav	Echo Sound Works Core (free pack)	6.452	0.614	-1.930	0.224	0.271	2.129	0.003
ESW Digital - Screamer Saw WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Screamer Saw.wav	Echo Sound Works Core (free pack)	8.932	0.478	-1.611	0.251	0.001	1.919	0.005
ESW Digital - Scrums WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Scrums.wav	Echo Sound Works Core (free pack)	4.286	0.379	-1.933	0.244	0.277	2.329	0.011
ESW Digital - Tadpoles WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Tadpoles.wav	Echo Sound Works Core (free pack)	12.460	0.645	-1.329	0.371	0.300	2.427	0.026
ESW FM - Acetate WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Acetate.wav	Echo Sound Works Core (free pack)	37.769	0.425	-1.065	0.494	0.062	2.289	0.057
ESW FM - Acidic WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Acidic.wav	Echo Sound Works Core (free pack)	15.088	0.557	-1.322	0.221	0.020	1.661	0.022
ESW FM - Advanced WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Advanced.wav	Echo Sound Works Core (free pack)	19.435	0.571	-1.078	0.221	0.071	2.375	0.021
ESW FM - Angry Robot WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Angry Robot.wav	Echo Sound Works Core (free pack)	22.024	0.631	-1.327	0.210	0.212	2.429	0.040
ESW FM - Buzz Saw WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Buzz Saw.wav	Echo Sound Works Core (free pack)	21.865	0.543	-1.303	0.451	0.006	2.388	0.031
ESW FM - Feliz WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Feliz.wav	Echo Sound Works Core (free pack)	33.110	0.497	-1.135	0.395	0.066	2.237	0.031
ESW FM - Groxy WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Groxy.wav	Echo Sound Works Core (free pack)	27.731	0.521	-1.234	0.383	0.064	2.616	0.028
ESW FM - Harmful If Swallowed WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Harmful If Swallowed.wav	Echo Sound Works Core (free pack)	59.698	0.503	-0.805	0.537	0.057	1.958	0.055
ESW FM - Paper Cut WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Paper Cut.wav	Echo Sound Works Core (free pack)	44.002	0.652	-0.622	0.363	0.313	2.118	0.055
ESW FM - Squealer 01 WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Squealer 01.wav	Echo Sound Works Core (free pack)	11.878	0.568	-1.007	0.082	0.134	1.895	0.029
ESW FM - Swirlys WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Swirlys.wav	Echo Sound Works Core (free pack)	20.322	0.411	-1.165	0.155	0.004	2.012	0.020
ESW FM - Translator WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Translator.wav	Echo Sound Works Core (free pack)	19.574	0.362	-1.329	0.295	0.033	2.975	0.018
ESW Growl - Dark Matter WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Dark Matter.wav	Echo Sound Works Core (free pack)	58.868	0.672	-1.603	0.578	0.316	3.637	0.066
ESW Growl - Emmie WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Emmie.wav	Echo Sound Works Core (free pack)	17.958	0.518	-1.535	0.136	0.111	1.922	0.014
ESW Growl - Machine Gun WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Machine Gun.wav	Echo Sound Works Core (free pack)	26.561	0.581	-1.679	0.496	0.259	2.478	0.039
ESW Growl - Thorns WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Thorns.wav	Echo Sound Works Core (free pack)	20.886	0.431	-1.313	0.454	0.019	3.122	0.043
ESW One Shot - BS Yai WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Yai.wav	Echo Sound Works Core (free pack)	33.348	0.440	-0.506	0.192	0.005	2.337	0.050
ESW Spectral - Conix WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Conix.wav	Echo Sound Works Core (free pack)	8.823	0.880	-1.348	0.235	0.081	2.009	0.016
ESW Spectral - Gyro WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Gyro.wav	Echo Sound Works Core (free pack)	26.416	0.482	-0.920	0.351	0.044	3.236	0.035
ESW Vocal - Origami WT.xrni	bright and gritty	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Origami.wav	Echo Sound Works Core (free pack)	5.322	0.496	-2.372	0.287	0.107	2.005	0.004
EUCLIDEA WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/EUCLIDEA.vitaltable	WaveEdit Online (CC0)	11.161	0.533	-1.688	0.158	0.006	1.971	0.033
FAIRLIGH WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FAIRLIGH.vitaltable	WaveEdit Online (CC0)	49.275	0.324	0.800	0.256	0.000	2.874	0.050
FM_-_COM WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FM_-_COM.vitaltable	WaveEdit Online (CC0)	22.843	0.454	-1.346	0.283	0.024	1.745	0.031
FOURIER2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FOURIER2.vitaltable	WaveEdit Online (CC0)	13.236	0.974	-1.971	0.189	0.157	2.140	0.172
FRACTA02 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FRACTA02.vitaltable	WaveEdit Online (CC0)	7.687	0.589	-1.425	0.084	0.033	2.004	0.052
FRACTA03 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FRACTA03.vitaltable	WaveEdit Online (CC0)	11.985	0.702	-1.062	0.111	0.000	1.868	0.110
Fiery Hot Diarrhea WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Vital Harvest/Presets/Fiery Hot Diarrhea.vital	other	10.944	0.362	0.163	0.456	0.000	2.762	0.002
Flexi-Bass GM Dec-25 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Vital Harvest/Presets/Flexi-Bass GM Dec-25.vital	other	12.856	0.579	-2.015	0.387	0.076	1.762	0.004
Folding4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Folding/Folding4.vitaltable	Kimura Taro (CC0)	60.954	0.497	-0.885	0.540	0.050	1.770	0.042
Folding5 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Folding/Folding5.vitaltable	Kimura Taro (CC0)	13.849	0.870	-1.241	0.371	0.004	1.770	0.018
GENTLE_M WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GENTLE_M.vitaltable	WaveEdit Online (CC0)	71.316	0.498	-0.595	0.226	0.005	1.976	0.111
GRAV-A1 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-A1.vitaltable	WaveEdit Online (CC0)	17.408	0.514	-1.526	0.351	0.011	1.662	0.032
GRAV-A10 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-A10.vitaltable	WaveEdit Online (CC0)	37.203	0.533	-1.440	0.378	0.036	2.061	0.059
GRAV-A2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-A2.vitaltable	WaveEdit Online (CC0)	33.877	0.568	-1.292	0.425	0.065	1.778	0.046
GRAV-A4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-A4.vitaltable	WaveEdit Online (CC0)	21.291	0.539	-1.214	0.333	0.048	1.799	0.023
GRAV-A5 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-A5.vitaltable	WaveEdit Online (CC0)	43.169	0.498	-0.860	0.420	0.018	1.162	0.043
GRAV-A6 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-A6.vitaltable	WaveEdit Online (CC0)	46.436	0.532	-1.529	0.446	0.057	1.717	0.054
GRAV-A8 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-A8.vitaltable	WaveEdit Online (CC0)	24.691	0.555	-1.416	0.338	0.047	1.727	0.046
GRAV-B10 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B10.vitaltable	WaveEdit Online (CC0)	42.916	0.540	-1.803	0.125	0.006	2.315	0.032
GRAV-B2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B2.vitaltable	WaveEdit Online (CC0)	41.422	0.556	-2.147	0.221	0.017	1.818	0.050
GRAV-B3 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B3.vitaltable	WaveEdit Online (CC0)	26.843	0.538	-1.746	0.164	0.008	2.057	0.016
GRAV-B4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B4.vitaltable	WaveEdit Online (CC0)	48.539	0.412	-1.794	0.138	0.003	2.240	0.057
GRAV-B7 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B7.vitaltable	WaveEdit Online (CC0)	32.550	0.510	-1.639	0.102	0.001	1.375	0.036
GRAV-B8 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B8.vitaltable	WaveEdit Online (CC0)	73.330	0.438	-1.591	0.139	0.001	1.669	0.050
GRAV-B9 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B9.vitaltable	WaveEdit Online (CC0)	91.351	0.386	-2.281	0.134	0.005	1.602	0.057
GRAV-C1 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C1.vitaltable	WaveEdit Online (CC0)	45.636	0.528	-1.743	0.110	0.004	2.131	0.047
GRAV-C10 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C10.vitaltable	WaveEdit Online (CC0)	58.498	0.387	-1.160	0.126	0.006	2.216	0.048
GRAV-C6 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C6.vitaltable	WaveEdit Online (CC0)	81.206	0.457	-0.123	0.130	0.006	2.282	0.090
GRAV-C7 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C7.vitaltable	WaveEdit Online (CC0)	39.590	0.506	-2.074	0.099	0.008	1.861	0.054
GRAV-C8 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C8.vitaltable	WaveEdit Online (CC0)	108.516	0.494	-1.494	0.112	0.001	2.305	0.097
Guitar - Stadiums WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Vital Harvest/Presets/Guitar - Stadiums.vital	other	13.932	0.377	-1.925	0.421	0.146	2.472	0.025
HARMOMET WT.xrni	bright and gritty	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HARMOMET.vitaltable	WaveEdit Online (CC0)	71.735	0.497	0.194	0.128	0.001	2.089	0.096
Half Clip4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Half Clip/Half Clip4.vitaltable	Kimura Taro (CC0)	7.740	0.631	-2.608	0.223	0.104	2.019	0.008
Hardcore FM10 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM10.vitaltable	Kimura Taro (CC0)	62.766	0.514	-0.816	0.529	0.027	2.716	0.034
Hardcore FM2 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM2.vitaltable	Kimura Taro (CC0)	38.717	0.507	-0.648	0.316	0.014	2.171	0.050
Hardcore FM3 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM3.vitaltable	Kimura Taro (CC0)	23.358	0.510	-1.426	0.414	0.016	2.172	0.014
Hardcore FM4 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM4.vitaltable	Kimura Taro (CC0)	5.484	0.508	-2.429	0.225	0.080	2.249	0.008
Hardcore FM6 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM6.vitaltable	Kimura Taro (CC0)	14.725	0.860	-1.154	0.342	0.003	2.121	0.017
Hardcore FM7 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM7.vitaltable	Kimura Taro (CC0)	23.853	0.340	-0.439	0.329	0.000	2.582	0.024
Hardcore FM9 WT.xrni	bright and gritty	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM9.vitaltable	Kimura Taro (CC0)	74.752	0.532	-0.056	0.537	0.008	2.642	0.043
Humble square WT.xrni	bright and gritty	/home/meneses/.local/share/vital/nahush2321/Wavetables/Humble square.vitaltable	user/Discord presets (third-party)	11.687	0.626	-1.837	0.416	0.260	2.454	0.004
